cid,year,week,anger,disgust,joy,sad,fear,angerlw,disgustlw,joylw,sadlw,fearlw,bindex,season,cida,cidweek,province,provinceyear,aqi,pm25,realnum,tmin,tmax,wind,sunnyr
141,2016,23,5.5556,22.2222,27.77780000000001,27.77780000000001,16.666700000000002,0.166667,0.166667,0.333333,0.166667,0.166667,103.571429,2,141,14123,37,201637,109.571429,50.42857100000001,18,17.714285999999994,28.0,3.5,0.285714
141,2016,24,20.0,20.0,30.0,20.0,10.0,0.055556,0.222222,0.277778,0.277778,0.166667,92.0,2,141,14124,37,201637,109.857143,39.285714,20,19.857143,30.428571,3.5,0.571429
141,2016,25,5.263199999999999,47.3684,21.0526,23.6842,2.6316,0.2,0.2,0.3,0.2,0.1,66.14285699999999,2,141,14125,37,201637,111.0,47.142857,38,23.0,34.142857,3.5,0.285714
141,2016,26,17.6471,20.5882,32.3529,20.5882,8.8235,0.052632000000000005,0.473684,0.210526,0.236842,0.026316000000000003,25.142857,2,141,14126,37,201637,117.571429,43.285714,34,21.285714,32.285714,3.5,0.571429
141,2016,27,14.7059,2.9412000000000003,67.64710000000001,11.7647,2.9412000000000003,0.17647100000000002,0.205882,0.323529,0.205882,0.08823500000000001,57.285714,2,141,14127,37,201637,94.714286,41.142857,34,20.714286,31.142857,3.5,0.0
141,2016,28,15.3846,0.0,38.4615,38.4615,7.6923,0.147059,0.029412,0.676471,0.117647,0.029412,41.285714,2,141,14128,37,201637,63.14285699999999,19.428571,13,23.0,33.428571000000005,2.928571,0.14285699999999998
141,2016,29,7.142900000000001,10.7143,39.2857,28.571400000000004,14.285700000000002,0.153846,0.0,0.384615,0.384615,0.076923,24.428571,2,141,14129,37,201637,81.85714300000002,42.142857,28,23.142857,28.857143,3.357143,0.14285699999999998
141,2016,30,22.2222,16.666700000000002,16.666700000000002,33.3333,11.1111,0.07142899999999999,0.107143,0.392857,0.285714,0.14285699999999998,41.857143,2,141,14130,37,201637,85.285714,38.571429,18,25.714286,33.857143,3.5,0.0
141,2016,31,13.3333,0.0,33.3333,33.3333,20.0,0.222222,0.166667,0.166667,0.333333,0.111111,16.857143,2,141,14131,37,201637,76.714286,42.285714,15,24.571429,33.0,3.5,0.14285699999999998
141,2016,32,14.285700000000002,9.5238,47.619,19.0476,9.5238,0.13333299999999998,0.0,0.333333,0.333333,0.2,32.571428999999995,2,141,14132,37,201637,48.42857100000001,19.714286,21,24.142857,32.0,3.214286,0.428571
141,2016,33,4.5455000000000005,9.0909,36.3636,36.3636,13.636400000000002,0.14285699999999998,0.095238,0.47619,0.190476,0.095238,24.428571,2,141,14133,37,201637,79.57142900000002,40.571429,22,24.714286,32.285714,3.214286,0.14285699999999998
141,2016,34,16.666700000000002,12.5,25.0,41.6667,4.1667000000000005,0.045455,0.090909,0.363636,0.363636,0.136364,24.857143,2,141,14134,37,201637,75.85714300000002,39.142857,24,23.428571,30.857143,3.5,0.428571
141,2016,35,8.333300000000001,0.0,41.6667,41.6667,8.333300000000001,0.166667,0.125,0.25,0.416667,0.041667,57.571429,2,141,14135,37,201637,77.14285699999998,36.142857,12,18.428571,28.714286,3.5,1.0
141,2016,36,0.0,14.285700000000002,50.0,35.7143,0.0,0.083333,0.0,0.416667,0.416667,0.083333,49.42857100000001,3,141,14136,37,201637,114.71428600000002,64.14285699999999,14,20.0,31.285714,3.214286,0.428571
141,2016,37,17.6471,23.5294,35.2941,23.5294,0.0,0.0,0.14285699999999998,0.5,0.357143,0.0,57.0,3,141,14137,37,201637,111.571429,74.0,17,18.571429,30.0,2.928571,0.285714
141,2016,38,0.0,33.3333,38.0952,14.285700000000002,14.285700000000002,0.17647100000000002,0.235294,0.352941,0.235294,0.0,50.285714,3,141,14138,37,201637,75.57142900000002,38.714286,21,16.571429000000002,26.857143,3.214286,0.571429
141,2016,39,0.0,24.0,52.0,16.0,8.0,0.0,0.333333,0.380952,0.14285699999999998,0.14285699999999998,32.571428999999995,3,141,14139,37,201637,74.85714300000002,41.714286,25,16.285714000000002,26.857143,3.642857,0.571429
141,2016,40,3.2258,6.4516,29.0323,54.8387,6.4516,0.0,0.24,0.52,0.16,0.08,57.85714300000001,3,141,14140,37,201637,75.42857099999998,46.285714,31,15.285714000000002,25.857143,3.642857,0.571429
141,2016,41,6.8966,20.6897,48.2759,13.7931,10.3448,0.032257999999999995,0.06451599999999999,0.290323,0.548387,0.06451599999999999,41.285714,3,141,14141,37,201637,87.285714,58.285714,29,11.857143,21.428571,3.357143,0.428571
141,2016,42,8.0,24.0,34.0,26.0,8.0,0.068966,0.206897,0.482759,0.137931,0.103448,94.571429,3,141,14142,37,201637,98.714286,73.285714,100,14.285714000000002,23.0,2.642857,0.428571
141,2016,43,3.125,28.125,42.1875,20.3125,6.25,0.08,0.24,0.34,0.26,0.08,59.428571,3,141,14143,37,201637,73.42857099999998,48.0,64,10.857143,16.857143,3.642857,0.0
141,2016,44,7.8947,18.421100000000006,52.6316,15.7895,5.263199999999999,0.03125,0.28125,0.421875,0.203125,0.0625,83.57142900000002,3,141,14144,37,201637,79.57142900000002,48.142857,38,5.8333330000000005,14.333332999999998,3.5,0.428571
141,2016,45,7.964599999999999,21.2389,27.4336,21.2389,22.1239,0.078947,0.184211,0.526316,0.157895,0.052632000000000005,95.428571,3,141,14145,37,201637,104.428571,74.85714300000002,113,5.3333330000000005,15.166667000000002,3.5,0.857143
141,2016,46,3.2258,23.6559,36.5591,32.2581,4.3011,0.07964600000000001,0.212389,0.274336,0.212389,0.221239,111.142857,3,141,14146,37,201637,118.0,82.714286,93,6.142857,15.857143,3.214286,0.285714
141,2016,47,13.636400000000002,15.9091,37.5,25.0,7.9545,0.032257999999999995,0.236559,0.365591,0.322581,0.043011,105.857143,3,141,14147,37,201637,91.0,61.0,88,1.0,8.857142999999997,3.214286,0.285714
141,2016,48,7.5949,30.3797,27.8481,26.5823,7.5949,0.136364,0.159091,0.375,0.25,0.079545,96.0,3,141,14148,37,201637,153.571429,116.142857,79,-2.166667,8.833333,3.5,0.714286
141,2016,49,11.5108,21.5827,25.1799,30.9353,10.7914,0.075949,0.303797,0.278481,0.265823,0.075949,134.0,4,141,14149,37,201637,163.0,123.28571399999998,139,0.0,11.0,3.5,0.571429
141,2016,50,14.4928,26.087,36.2319,17.3913,5.7971,0.115108,0.215827,0.251799,0.30935300000000004,0.107914,107.28571399999998,4,141,14150,37,201637,83.285714,56.14285699999999,69,-2.142857,6.0,3.357143,0.714286
141,2016,51,12.578600000000002,21.3836,28.6164,25.157200000000003,12.2642,0.144928,0.26087,0.362319,0.173913,0.057971,568.428571,4,141,14151,37,201637,219.714286,175.14285700000005,318,-0.333333,8.5,2.928571,0.428571
141,2016,52,12.1951,21.9512,43.9024,17.0732,4.878,0.12578599999999998,0.21383600000000005,0.286164,0.251572,0.122642,180.0,4,141,14152,37,201637,127.71428600000002,95.857143,41,-4.0,3.166667,3.357143,0.571429
142,2014,40,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.571429,3,142,14240,37,201437,53.0,23.028571,1,14.428571,19.142857,4.285714,0.571429
142,2014,41,6.6667000000000005,25.0,45.0,16.666700000000002,6.6667000000000005,1.0,0.0,0.0,0.0,0.0,136.428571,3,142,14241,37,201437,67.285714,35.385714,120,13.714285999999998,20.571429,4.214286,0.857143
142,2014,42,9.0909,3.0303,54.5455,21.2121,12.1212,0.06666699999999999,0.25,0.45,0.166667,0.06666699999999999,98.0,3,142,14242,37,201437,59.85714300000001,25.371429,33,14.571429,20.0,4.714286,0.428571
142,2014,43,2.5641000000000003,33.3333,28.2051,25.641,10.2564,0.090909,0.030303,0.545455,0.212121,0.121212,129.571429,3,142,14243,37,201437,84.0,42.628571,39,12.0,18.714286,4.928571,0.714286
142,2014,44,14.5455,20.0,25.454500000000003,29.0909,10.9091,0.025641000000000004,0.333333,0.282051,0.25641,0.10256400000000003,119.0,3,142,14244,37,201437,59.285714,30.614286,55,11.0,16.285714000000002,4.357143,0.571429
142,2014,45,25.0,33.3333,16.666700000000002,25.0,0.0,0.145455,0.2,0.254545,0.29090900000000003,0.109091,59.0,3,142,14245,37,201437,87.85714300000002,59.528571,24,7.142857000000001,13.857143,4.5,0.714286
142,2014,46,12.5,12.5,50.0,25.0,0.0,0.25,0.333333,0.166667,0.25,0.0,59.0,3,142,14246,37,201437,58.285714,30.842857,8,4.714286,10.142857,4.357143,0.571429
142,2014,47,15.2174,32.6087,30.4348,15.2174,6.5217,0.125,0.125,0.5,0.25,0.0,117.142857,3,142,14247,37,201437,89.57142900000002,62.3,46,7.285714,12.857143,4.285714,0.714286
142,2014,48,16.666700000000002,9.5238,35.7143,23.8095,14.285700000000002,0.152174,0.326087,0.304348,0.152174,0.065217,102.0,3,142,14248,37,201437,69.42857099999999,34.2,42,3.285714,8.428571,4.785714,0.14285699999999998
142,2014,49,0.0,12.5,56.25,25.0,6.25,0.166667,0.095238,0.357143,0.238095,0.14285699999999998,83.85714300000002,4,142,14249,37,201437,42.0,19.257143,16,-1.666667,1.833333,4.785714,0.14285699999999998
142,2014,50,25.0,8.333300000000001,33.3333,33.3333,0.0,0.0,0.125,0.5625,0.25,0.0625,84.42857099999998,4,142,14250,37,201437,63.571429,35.9,12,-2.0,3.142857,5.0,0.285714
142,2014,51,0.0,7.6923,76.9231,15.3846,0.0,0.25,0.083333,0.333333,0.333333,0.0,94.0,4,142,14251,37,201437,58.428571,32.742857,13,-1.333333,4.0,5.142857,0.428571
142,2014,52,12.5,4.1667000000000005,45.8333,25.0,12.5,0.0,0.076923,0.769231,0.153846,0.0,95.0,4,142,14252,37,201437,97.714286,67.44285699999999,24,0.4,5.8,4.428571,0.428571
142,2015,1,11.5385,15.3846,26.9231,38.4615,7.6923,0.125,0.041667,0.458333,0.25,0.125,86.285714,4,142,14201,37,201537,93.714286,59.414286,26,-1.5714290000000002,3.714286,4.642857,0.571429
142,2015,2,15.0,25.0,20.0,40.0,0.0,0.115385,0.153846,0.269231,0.384615,0.076923,97.142857,4,142,14202,37,201537,60.0,37.728571,20,-0.833333,3.833333,4.214286,0.857143
142,2015,3,16.666700000000002,16.666700000000002,25.0,37.5,4.1667000000000005,0.15,0.25,0.2,0.4,0.0,112.857143,4,142,14203,37,201537,76.285714,50.171429,24,-1.5,3.333333,4.857143,0.14285699999999998
142,2015,4,5.263199999999999,5.263199999999999,15.7895,52.6316,21.0526,0.166667,0.166667,0.25,0.375,0.041667,86.0,4,142,14204,37,201537,65.285714,41.9,19,-1.833333,2.333333,4.357143,0.571429
142,2015,5,18.75,25.0,37.5,18.75,0.0,0.052632000000000005,0.052632000000000005,0.157895,0.526316,0.210526,66.14285699999999,4,142,14205,37,201537,71.42857099999998,44.942857,16,-2.571429,1.5714290000000002,4.642857,0.285714
142,2015,6,6.8966,31.0345,20.6897,24.1379,17.241400000000002,0.1875,0.25,0.375,0.1875,0.0,32.571428999999995,4,142,14206,37,201537,75.714286,42.7,29,-3.833333,2.166667,4.785714,0.714286
142,2015,7,5.0,15.0,40.0,25.0,15.0,0.068966,0.310345,0.206897,0.241379,0.172414,68.285714,4,142,14207,37,201537,75.57142900000002,49.171429,20,0.428571,6.285714,4.857143,0.571429
142,2015,8,11.7647,5.8824000000000005,47.0588,23.5294,11.7647,0.05,0.15,0.4,0.25,0.15,41.285714,4,142,14208,37,201537,98.285714,42.014286,17,-1.0,4.8,4.428571,0.428571
142,2015,9,19.7605,26.0479,25.14970000000001,15.2695,13.7725,0.117647,0.058824,0.470588,0.235294,0.117647,160.85714299999995,2,142,14209,37,201537,69.85714300000001,32.571428999999995,334,-0.714286,4.142857,5.0,0.714286
142,2015,10,25.3521,18.309900000000006,28.169,12.676100000000002,15.493000000000002,0.197605,0.260479,0.251497,0.152695,0.137725,141.14285700000005,1,142,14210,37,201537,60.285714,31.942857,71,-0.571429,5.714286,4.714286,0.714286
142,2015,11,13.9535,23.2558,32.5581,16.2791,13.9535,0.253521,0.183099,0.28169,0.12676099999999998,0.15492999999999998,120.571429,1,142,14211,37,201537,75.14285699999998,46.171429,43,4.166667,11.666667,4.642857,0.714286
142,2015,12,12.9032,6.4516,45.1613,29.0323,6.4516,0.139535,0.232558,0.325581,0.16279100000000002,0.139535,109.428571,1,142,14212,37,201537,98.428571,50.557143,31,4.714286,13.0,4.285714,1.0
142,2015,13,13.5593,18.6441,22.0339,35.5932,10.1695,0.12903199999999998,0.06451599999999999,0.451613,0.290323,0.06451599999999999,129.14285700000002,1,142,14213,37,201537,77.0,47.614286,59,7.428571000000002,15.571429,4.785714,0.428571
142,2015,14,13.636400000000002,18.1818,40.9091,18.1818,9.0909,0.13559300000000002,0.186441,0.220339,0.355932,0.101695,104.857143,1,142,14214,37,201537,59.14285699999999,33.128571,22,4.428571,9.571429,4.928571,0.428571
142,2015,15,14.285700000000002,21.4286,35.7143,14.285700000000002,14.285700000000002,0.136364,0.181818,0.409091,0.181818,0.090909,120.571429,1,142,14215,37,201537,75.85714300000002,43.885714,14,7.571428999999998,15.428571,4.857143,0.428571
142,2015,16,11.1111,22.2222,44.4444,22.2222,0.0,0.14285699999999998,0.214286,0.357143,0.14285699999999998,0.14285699999999998,112.142857,1,142,14216,37,201537,79.85714300000002,36.2,18,9.428571,17.285714000000002,4.928571,0.14285699999999998
142,2015,17,5.0,35.0,30.0,20.0,10.0,0.111111,0.222222,0.444444,0.222222,0.0,92.285714,1,142,14217,37,201537,94.285714,44.142857,20,13.571429,22.857143,4.928571,0.714286
142,2015,18,8.333300000000001,8.333300000000001,50.0,25.0,8.333300000000001,0.05,0.35,0.3,0.2,0.1,92.857143,1,142,14218,37,201537,61.571429,27.328571000000004,12,12.142857,19.857143,4.642857,0.571429
142,2015,19,23.0769,7.6923,38.4615,15.3846,15.3846,0.083333,0.083333,0.5,0.25,0.083333,66.57142900000001,1,142,14219,37,201537,60.85714300000001,31.971429,13,12.714286,20.142857,4.857143,0.285714
142,2015,20,16.666700000000002,16.666700000000002,33.3333,33.3333,0.0,0.230769,0.076923,0.384615,0.153846,0.153846,66.85714300000001,1,142,14220,37,201537,77.85714300000002,34.2,6,14.857143,22.857143,4.642857,0.571429
142,2015,21,10.0,10.0,50.0,20.0,10.0,0.166667,0.166667,0.333333,0.333333,0.0,94.571429,1,142,14221,37,201537,57.714286,20.314286,10,16.857143,26.857143,4.428571,0.857143
142,2015,22,0.0,33.3333,66.6667,0.0,0.0,0.1,0.1,0.5,0.2,0.1,100.428571,1,142,14222,37,201537,55.714286,25.814286,3,18.0,25.714286,4.642857,0.285714
142,2015,23,42.8571,28.571400000000004,14.285700000000002,14.285700000000002,0.0,0.0,0.333333,0.666667,0.0,0.0,89.42857099999998,2,142,14223,37,201537,63.0,27.3,7,19.142857,27.142857,5.071429,0.285714
142,2015,24,7.142900000000001,7.142900000000001,42.8571,7.142900000000001,35.7143,0.428571,0.285714,0.14285699999999998,0.14285699999999998,0.0,75.714286,2,142,14224,37,201537,74.57142900000002,45.485714,14,19.285714,26.714286,4.071429,0.571429
142,2015,25,0.0,0.0,60.0,20.0,20.0,0.07142899999999999,0.07142899999999999,0.428571,0.07142899999999999,0.357143,50.142857,2,142,14225,37,201537,59.428571,36.7,5,18.714286,25.857143,4.214286,0.285714
142,2015,26,0.0,57.1429,28.571400000000004,14.285700000000002,0.0,0.0,0.0,0.6,0.2,0.2,16.285714000000002,2,142,14226,37,201537,51.142857,26.2,7,19.857143,25.714286,4.357143,0.285714
142,2015,27,12.5,25.0,25.0,37.5,0.0,0.0,0.571429,0.285714,0.14285699999999998,0.0,16.571429000000002,2,142,14227,37,201537,49.0,22.885714,8,19.571429,26.285714,3.785714,0.714286
142,2015,28,40.0,20.0,40.0,0.0,0.0,0.125,0.25,0.25,0.375,0.0,65.57142900000001,2,142,14228,37,201537,50.42857100000001,24.328571,5,22.428571,28.0,5.0,0.285714
142,2015,29,0.0,12.5,62.5,25.0,0.0,0.4,0.2,0.4,0.0,0.0,74.14285699999998,2,142,14229,37,201537,43.714286,22.114286,8,21.428571,26.714286,3.5,0.0
142,2015,30,16.666700000000002,0.0,50.0,16.666700000000002,16.666700000000002,0.0,0.125,0.625,0.25,0.0,8.142857000000001,2,142,14230,37,201537,55.285714,36.142857,6,24.0,29.428571,4.071429,0.0
142,2015,31,33.3333,0.0,33.3333,33.3333,0.0,0.166667,0.0,0.5,0.166667,0.166667,8.142857000000001,2,142,14231,37,201537,51.0,27.885714,3,25.142857,30.714286,4.785714,0.0
142,2015,32,7.6923,30.7692,38.4615,15.3846,7.6923,0.333333,0.0,0.333333,0.333333,0.0,26.0,2,142,14232,37,201537,50.0,28.571429,13,23.571429,29.0,4.285714,0.14285699999999998
142,2015,33,20.8333,25.0,29.1667,20.8333,4.1667000000000005,0.076923,0.307692,0.384615,0.153846,0.076923,41.0,2,142,14233,37,201537,77.85714300000002,55.1,24,23.714286,30.285714,3.928571,0.714286
142,2015,34,25.0,12.5,37.5,12.5,12.5,0.208333,0.25,0.291667,0.208333,0.041667,16.571429000000002,2,142,14234,37,201537,41.857143,21.042857,8,22.285714,27.571429,4.5,0.0
142,2015,35,18.1818,18.1818,36.3636,9.0909,18.1818,0.25,0.125,0.375,0.125,0.125,40.714286,2,142,14235,37,201537,44.142857,23.071429,11,21.285714,27.0,4.5,0.0
142,2015,36,0.0,40.0,50.0,10.0,0.0,0.181818,0.181818,0.363636,0.090909,0.181818,24.714286,3,142,14236,37,201537,35.57142899999999,15.771429,10,20.285714,26.285714,4.357143,0.571429
142,2015,37,36.3636,18.1818,27.2727,18.1818,0.0,0.0,0.4,0.5,0.1,0.0,24.428571,3,142,14237,37,201537,45.857143,22.957143,11,18.714286,24.571429,4.5,0.428571
142,2015,38,1.5625,48.4375,6.25,4.6875,39.0625,0.363636,0.181818,0.272727,0.181818,0.0,41.857143,3,142,14238,37,201537,44.857143,23.757143,64,19.142857,25.857143,4.0,0.571429
142,2015,39,6.25,12.5,37.5,37.5,6.25,0.015625,0.484375,0.0625,0.046875,0.390625,57.571429,3,142,14239,37,201537,44.0,21.471429,16,18.571429,24.714286,4.357143,0.428571
142,2015,40,15.0,10.0,25.0,40.0,10.0,0.0625,0.125,0.375,0.375,0.0625,33.0,3,142,14240,37,201537,42.714286,19.3,20,16.428570999999998,23.714286,4.642857,0.714286
142,2015,41,33.3333,0.0,50.0,16.666700000000002,0.0,0.15,0.1,0.25,0.4,0.1,32.571428999999995,3,142,14241,37,201537,48.857143,24.085714000000007,6,12.714286,20.142857,5.0,0.428571
142,2015,42,8.064499999999999,12.9032,30.6452,35.4839,12.9032,0.333333,0.0,0.5,0.166667,0.0,118.0,3,142,14242,37,201537,91.428571,66.728571,62,15.142857,21.714286,4.071429,0.285714
142,2015,43,3.8462000000000014,15.3846,42.3077,38.4615,0.0,0.08064500000000001,0.12903199999999998,0.306452,0.354839,0.12903199999999998,66.714286,3,142,14243,37,201537,60.428571,33.257143,26,11.571429,17.714285999999994,4.714286,0.14285699999999998
142,2015,44,5.5556,22.2222,44.4444,27.77780000000001,0.0,0.038462,0.153846,0.423077,0.384615,0.0,50.285714,3,142,14244,37,201537,51.0,31.414286,18,10.0,15.428571,4.5,0.285714
142,2015,45,6.410299999999999,17.948700000000006,43.5897,25.641,6.410299999999999,0.055556,0.222222,0.444444,0.277778,0.0,78.85714300000002,3,142,14245,37,201537,79.42857099999998,58.27142900000001,78,9.571429,13.428571,5.142857,0.428571
142,2015,46,13.414599999999998,13.414599999999998,41.4634,25.6098,6.0976,0.064103,0.17948699999999998,0.435897,0.25641,0.064103,114.857143,3,142,14246,37,201537,59.14285699999999,40.671429,82,9.285714,13.285714000000002,4.785714,0.0
142,2015,47,8.333300000000001,8.333300000000001,37.5,35.4167,10.4167,0.13414600000000002,0.13414600000000002,0.414634,0.256098,0.060976,67.85714300000001,3,142,14247,37,201537,45.714286,31.242857,48,4.6,7.8,4.857143,0.0
142,2015,48,12.711900000000002,18.2203,35.1695,22.8814,11.0169,0.083333,0.083333,0.375,0.354167,0.104167,97.142857,3,142,14248,37,201537,60.14285699999999,41.5,236,1.666667,6.666667,4.928571,0.14285699999999998
142,2015,49,13.6095,24.8521,33.1361,19.5266,8.8757,0.127119,0.182203,0.351695,0.228814,0.110169,161.85714299999995,4,142,14249,37,201537,48.142857,28.071429,169,2.666667,6.8333330000000005,4.785714,0.0
142,2015,50,15.6627,18.6747,34.3373,19.8795,11.4458,0.136095,0.248521,0.331361,0.195266,0.088757,155.0,4,142,14250,37,201537,63.714286,43.342857,166,1.857143,6.142857,5.0,0.0
142,2015,51,13.0112,23.7918,24.5353,27.881,10.7807,0.156627,0.186747,0.343373,0.198795,0.114458,231.571429,4,142,14251,37,201537,141.85714299999995,109.914286,269,1.833333,6.166667,4.214286,0.285714
142,2015,52,10.473,20.6081,33.7838,28.0405,7.0946,0.13011199999999998,0.237918,0.245353,0.27881,0.107807,208.285714,4,142,14252,37,201537,108.571429,80.457143,296,-2.0,3.4,4.714286,0.14285699999999998
142,2016,1,13.7725,18.5629,38.3234,22.7545,6.5867999999999975,0.10473,0.206081,0.337838,0.280405,0.07094600000000001,153.28571399999996,4,142,14201,37,201637,88.714286,62.685714,167,-0.285714,4.428571,4.357143,0.428571
142,2016,2,11.5385,19.2308,33.3333,28.2051,7.6923,0.137725,0.185629,0.383234,0.227545,0.065868,134.0,4,142,14202,37,201637,56.0,34.514286,78,-3.571429,1.0,4.785714,0.428571
142,2016,3,9.375,28.125,34.375,25.0,3.125,0.115385,0.192308,0.333333,0.282051,0.076923,116.0,4,142,14203,37,201637,75.285714,52.385714,64,-6.0,-1.0,4.928571,0.428571
142,2016,4,21.7391,15.2174,34.7826,21.7391,6.5217,0.09375,0.28125,0.34375,0.25,0.03125,87.14285699999998,4,142,14204,37,201637,54.14285699999999,33.885714,46,-6.285714,-1.4285709999999998,4.928571,0.285714
142,2016,5,13.8889,16.666700000000002,63.88890000000001,2.7778,2.7778,0.217391,0.152174,0.347826,0.217391,0.065217,83.85714300000002,4,142,14205,37,201637,53.714286,33.071428999999995,36,-3.857143,0.428571,4.5,0.0
142,2016,6,8.0,28.000000000000004,40.0,20.0,4.0,0.138889,0.166667,0.638889,0.027778,0.027778,42.42857100000001,4,142,14206,37,201637,59.571429,37.885714,25,0.14285699999999998,6.0,4.5,0.285714
142,2016,7,22.2222,22.2222,22.2222,27.77780000000001,5.5556,0.08,0.28,0.4,0.2,0.04,97.0,4,142,14207,37,201637,46.142857,23.114286,18,-1.833333,3.666667,5.071429,0.428571
142,2016,8,14.8148,25.9259,29.6296,14.8148,14.8148,0.222222,0.222222,0.222222,0.277778,0.055556,120.142857,4,142,14208,37,201637,59.14285699999999,33.971429,27,-2.285714,3.571429,4.642857,0.285714
142,2016,9,16.2162,32.4324,29.7297,16.2162,5.4054,0.148148,0.259259,0.296296,0.148148,0.148148,101.571429,2,142,14209,37,201637,71.42857099999998,46.942857,37,0.666667,7.5,4.928571,0.428571
